Date,Item,Category,Quantity,Price,Total Revenue
04-01-2025,Oil,Staples,1.0,45.0,45.0
08-01-2025,Soap,PersonalCare,3.0,20.0,60.0
24-01-2025,Oil,Staples,15.0,90.0,1350.0
19-01-2025,Rice,Staples,7.0,20.0,140.0
03-01-2025,Rice,Staples,4.0,30.0,120.0
20-01-2025,Atta,Staples,1.0,90.0,90.0
23-01-2025,Soap,PersonalCare,11.0,90.0,990.0
08-01-2025,Shampoo,PersonalCare,8.0,90.0,720.0
26-01-2025,Chips,Snacks,14.0,20.0,280.0
26-01-2025,Toothpaste,PersonalCare,3.0,60.0,180.0
09-01-2025,Chips,Snacks,3.0,30.0,90.0
11-01-2025,Toothpaste,PersonalCare,2.0,20.0,40.0
04-01-2025,Shampoo,PersonalCare,6.0,45.0,270.0
09-01-2025,Atta,Staples,13.0,20.0,260.0
15-01-2025,Oil,Staples,9.0,20.0,180.0
03-01-2025,Shampoo,PersonalCare,9.0,45.0,405.0
21-01-2025,Toothpaste,PersonalCare,10.0,45.0,450.0
07-01-2025,Atta,Staples,12.0,20.0,240.0
22-01-2025,Rice,Staples,4.0,45.0,180.0
28-01-2025,Rice,Staples,4.0,20.0,80.0
09-01-2025,Shampoo,PersonalCare,8.0,45.0,360.0
12-01-2025,Soap,PersonalCare,6.0,30.0,180.0
09-01-2025,Oil,Staples,12.0,20.0,240.0
21-01-2025,Atta,Staples,3.0,90.0,270.0
08-01-2025,Oil,Staples,3.0,60.0,180.0
09-01-2025,Shampoo,PersonalCare,15.0,90.0,1350.0
22-01-2025,Soap,PersonalCare,6.0,20.0,120.0
27-01-2025,Soap,PersonalCare,1.0,45.0,45.0
09-01-2025,Shampoo,PersonalCare,2.0,30.0,60.0
29-01-2025,Atta,Staples,12.0,45.0,540.0
21-01-2025,Soap,PersonalCare,8.0,60.0,480.0
15-01-2025,Oil,Staples,3.0,45.0,135.0
08-01-2025,Soap,PersonalCare,12.0,90.0,1080.0
09-01-2025,Atta,Staples,12.0,90.0,1080.0
29-01-2025,Shampoo,PersonalCare,10.0,60.0,600.0
08-01-2025,Chips,Snacks,3.0,90.0,270.0
03-01-2025,Shampoo,PersonalCare,13.0,20.0,260.0
04-01-2025,Toothpaste,PersonalCare,3.0,30.0,90.0
22-01-2025,Toothpaste,PersonalCare,7.0,90.0,630.0
13-01-2025,Rice,Staples,7.0,90.0,630.0
17-01-2025,Shampoo,PersonalCare,5.0,90.0,450.0
01-01-2025,Toothpaste,PersonalCare,11.0,20.0,220.0
29-01-2025,Oil,Staples,9.0,45.0,405.0
21-01-2025,Toothpaste,PersonalCare,6.0,20.0,120.0
14-01-2025,Chips,Snacks,3.0,60.0,180.0
24-01-2025,Rice,Staples,15.0,45.0,675.0
25-01-2025,Atta,Staples,3.0,90.0,270.0
28-01-2025,Rice,Staples,11.0,45.0,495.0
21-01-2025,Toothpaste,PersonalCare,9.0,90.0,810.0
05-01-2025,Soap,PersonalCare,6.0,30.0,180.0
25-01-2025,Atta,Staples,15.0,90.0,1350.0
20-01-2025,Rice,Staples,6.0,60.0,360.0
04-01-2025,Rice,Staples,15.0,45.0,675.0
26-01-2025,Toothpaste,PersonalCare,5.0,30.0,150.0
08-01-2025,Rice,Staples,15.0,90.0,1350.0
03-01-2025,Rice,Staples,12.0,60.0,720.0
03-01-2025,Toothpaste,PersonalCare,13.0,90.0,1170.0
05-01-2025,Toothpaste,PersonalCare,3.0,60.0,180.0
06-01-2025,Atta,Staples,5.0,90.0,450.0
20-01-2025,Toothpaste,PersonalCare,7.0,30.0,210.0
25-01-2025,Atta,Staples,12.0,30.0,360.0
10-01-2025,Oil,Staples,7.0,45.0,315.0
29-01-2025,Shampoo,PersonalCare,9.0,60.0,540.0
08-01-2025,Rice,Staples,4.0,20.0,80.0
01-01-2025,Chips,Snacks,10.0,90.0,900.0
19-01-2025,Soap,PersonalCare,4.0,20.0,80.0
23-01-2025,Rice,Staples,11.0,20.0,220.0
03-01-2025,Soap,PersonalCare,15.0,20.0,300.0
11-01-2025,Toothpaste,PersonalCare,2.0,90.0,180.0
09-01-2025,Soap,PersonalCare,11.0,60.0,660.0
18-01-2025,Soap,PersonalCare,3.0,90.0,270.0
16-01-2025,Atta,Staples,4.0,60.0,240.0
14-01-2025,Toothpaste,PersonalCare,4.0,20.0,80.0
22-01-2025,Rice,Staples,7.0,45.0,315.0
14-01-2025,Shampoo,PersonalCare,8.0,20.0,160.0
21-01-2025,Oil,Staples,11.0,20.0,220.0
13-01-2025,Rice,Staples,12.0,45.0,540.0
28-01-2025,Toothpaste,PersonalCare,2.0,30.0,60.0
07-01-2025,Soap,PersonalCare,9.0,60.0,540.0
14-01-2025,Soap,PersonalCare,3.0,45.0,135.0
08-01-2025,Shampoo,PersonalCare,14.0,20.0,280.0
26-01-2025,Shampoo,PersonalCare,14.0,90.0,1260.0
02-01-2025,Rice,Staples,11.0,90.0,990.0
01-01-2025,Toothpaste,PersonalCare,2.0,30.0,60.0
14-01-2025,Soap,PersonalCare,8.0,60.0,480.0
28-01-2025,Soap,PersonalCare,7.0,20.0,140.0
13-01-2025,Soap,PersonalCare,1.0,60.0,60.0
30-01-2025,Chips,Snacks,13.0,60.0,780.0
14-01-2025,Chips,Snacks,12.0,90.0,1080.0
23-01-2025,Oil,Staples,8.0,30.0,240.0
10-01-2025,Soap,PersonalCare,4.0,20.0,80.0
24-01-2025,Atta,Staples,9.0,20.0,180.0
11-01-2025,Oil,Staples,1.0,20.0,20.0
16-01-2025,Atta,Staples,9.0,90.0,810.0
02-01-2025,Soap,PersonalCare,9.0,20.0,180.0
06-01-2025,Toothpaste,PersonalCare,2.0,90.0,180.0
22-01-2025,Rice,Staples,14.0,30.0,420.0
04-01-2025,Shampoo,PersonalCare,15.0,90.0,1350.0
19-01-2025,Soap,PersonalCare,10.0,20.0,200.0
03-01-2025,Atta,Staples,7.0,90.0,630.0
17-01-2025,Atta,Staples,6.0,45.0,270.0
22-01-2025,Soap,PersonalCare,12.0,45.0,540.0
09-01-2025,Soap,PersonalCare,7.0,30.0,210.0
21-01-2025,Oil,Staples,5.0,60.0,300.0
30-01-2025,Chips,Snacks,13.0,20.0,260.0
15-01-2025,Rice,Staples,10.0,90.0,900.0
03-01-2025,Rice,Staples,9.0,30.0,270.0
09-01-2025,Atta,Staples,3.0,45.0,135.0
29-01-2025,Rice,Staples,4.0,45.0,180.0
06-01-2025,Chips,Snacks,8.0,90.0,720.0
10-01-2025,Oil,Staples,10.0,90.0,900.0
22-01-2025,Rice,Staples,14.0,90.0,1260.0
30-01-2025,Chips,Snacks,11.0,20.0,220.0
09-01-2025,Soap,PersonalCare,2.0,20.0,40.0
18-01-2025,Oil,Staples,3.0,45.0,135.0
20-01-2025,Chips,Snacks,4.0,45.0,180.0
22-01-2025,Soap,PersonalCare,11.0,45.0,495.0
16-01-2025,Atta,Staples,5.0,20.0,100.0
21-01-2025,Rice,Staples,7.0,45.0,315.0
01-01-2025,Rice,Staples,6.0,30.0,180.0
09-01-2025,Oil,Staples,3.0,60.0,180.0
23-01-2025,Atta,Staples,7.0,90.0,630.0
04-01-2025,Rice,Staples,2.0,30.0,60.0
02-01-2025,Atta,Staples,14.0,45.0,630.0
18-01-2025,Atta,Staples,3.0,60.0,180.0
02-01-2025,Soap,PersonalCare,5.0,45.0,225.0
28-01-2025,Toothpaste,PersonalCare,1.0,45.0,45.0
22-01-2025,Soap,PersonalCare,4.0,20.0,80.0
25-01-2025,Chips,Snacks,9.0,60.0,540.0
24-01-2025,Atta,Staples,3.0,30.0,90.0
06-01-2025,Toothpaste,PersonalCare,13.0,30.0,390.0
01-01-2025,Shampoo,PersonalCare,3.0,45.0,135.0
30-01-2025,Toothpaste,PersonalCare,7.0,30.0,210.0
06-01-2025,Chips,Snacks,13.0,20.0,260.0
28-01-2025,Shampoo,PersonalCare,1.0,60.0,60.0
07-01-2025,Soap,PersonalCare,14.0,60.0,840.0
10-01-2025,Chips,Snacks,14.0,30.0,420.0
01-01-2025,Soap,PersonalCare,11.0,30.0,330.0
